@T,D4,,,,
descr,observed soil water content at probe D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513672,,,
y,,4495127,,,
,28.05.2003,0.270642879,0.422776207,0.313615727,0.201153169
,29.05.2003,0.270687151,0.423388161,0.313809493,0.201629113
,30.05.2003,0.270311071,0.42357756,0.314169025,0.202166458
,31.05.2003,0.268690703,0.423018371,0.314447643,0.202848275
,01.06.2003,0.266940765,0.421448657,0.314271289,0.203567449
,02.06.2003,0.265544069,0.419693939,0.31367917,0.204240962
,03.06.2003,0.264746276,0.418240735,0.312911784,0.204826853
,04.06.2003,0.263061881,0.416681637,0.312142026,0.205291283
,05.06.2003,0.262611899,0.414364609,0.31107542,0.205636533
,06.06.2003,0.263263034,0.412974378,0.309664737,0.205887326
,07.06.2003,0.263471241,0.412163339,0.308501871,0.205979327
,08.06.2003,0.264715455,0.412007277,0.307735048,0.205945872
,09.06.2003,0.266834192,0.413269649,0.307661917,0.20580092
,10.06.2003,0.26743555,0.414873324,0.308365858,0.205622595
,11.06.2003,0.268850674,0.416428572,0.309329199,0.205494482
,12.06.2003,0.269391538,0.418118275,0.310504362,0.205500051
,13.06.2003,0.26971243,0.419365251,0.311633018,0.20560031
,14.06.2003,0.269816367,0.42015833,0.312581248,0.205806496
,15.06.2003,0.270437439,0.420983069,0.313369272,0.206071369
,16.06.2003,0.271393828,0.422103313,0.314130289,0.20638111
,17.06.2003,0.27163724,0.423132764,0.314977134,0.206713493
,18.06.2003,0.270907475,0.423546724,0.315673238,0.207127316
,19.06.2003,0.27014084,0.423189995,0.316051703,0.207572441
,20.06.2003,0.276996301,0.423097515,0.316034019,0.207835857
,21.06.2003,0.283523843,0.423163572,0.316030473,0.208051795
,22.06.2003,0.284195624,0.423502679,0.316140181,0.208422265
,23.06.2003,0.284435761,0.423987398,0.316423382,0.208770648
,24.06.2003,0.28328387,0.423978599,0.316710289,0.209155958
,25.06.2003,0.280490559,0.422477352,0.316604028,0.209524795
,26.06.2003,0.280458739,0.420890954,0.315910207,0.209862987
,27.06.2003,0.281940537,0.420811892,0.315372732,0.210088627
,28.06.2003,0.283601755,0.421782429,0.315323271,0.210249495
,29.06.2003,0.284081891,0.42293908,0.315733354,0.210464092
,30.06.2003,0.283572793,0.422895044,0.316118942,0.210743833
,01.07.2003,0.285272545,0.423432228,0.316334874,0.211108673
,02.07.2003,0.287181153,0.424715183,0.316830796,0.211539052
,03.07.2003,0.289169379,0.426199347,0.31761101,0.212032362
,04.07.2003,0.291195371,0.427473925,0.31848121,0.212631505
,05.07.2003,0.2930511,0.428568876,0.319356388,0.213356913
